Code de la commune,code_commune,emploi_actifs,emploi_retraites,socio_pro,pauvrete_ensemble,natalite,mortalite,diplome_bac,diplome_bac5_plus
01034,01034,65.1,7.1,"{'Agriculteur': 0.4, 'Artisan, commerçant et chef d’entreprise': 6.0, 'Cadres': 15.2, 'Profession intermédiaire': 26.5, 'Employé': 25.9, 'Ouvrier': 26.0}",18.0,9.6,13.7,16.9,6.9
01035,01035,76.5,11.4,{},,8.0,9.1,18.1,10.7
01036,01036,71.6,11.2,{},,7.2,10.0,20.7,9.8
01037,01037,71.7,8.4,{},,10.5,10.5,22.4,7.5
01038,01038,77.0,8.0,{},,9.4,6.1,20.3,6.3
01040,01040,77.6,7.1,{},,9.6,5.1,23.3,1.7
01041,01041,74.8,6.9,{},,12.1,7.5,16.8,9.1
01042,01042,78.8,8.7,{},,6.5,6.5,22.6,6.9
01043,01043,73.2,5.9,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 4.9, 'Cadres': 20.9, 'Profession intermédiaire': 26.5, 'Employé': 24.6, 'Ouvrier': 23.0}",6.0,8.9,5.4,16.6,17.0
01044,01044,74.3,3.0,{},,9.2,3.7,19.8,7.5
01045,01045,81.8,3.1,{},,17.7,7.1,20.9,9.7
01046,01046,78.6,6.9,{},,8.2,6.1,21.7,6.1
01047,01047,78.7,3.5,{},,13.2,2.9,21.5,11.8
01049,01049,71.6,6.9,"{'Agriculteur': 0.4, 'Artisan, commerçant et chef d’entreprise': 6.7, 'Cadres': 19.8, 'Profession intermédiaire': 23.2, 'Employé': 21.8, 'Ouvrier': 28.1}",,12.2,4.3,17.8,10.3
01050,01050,76.8,3.3,{},,11.6,7.4,24.3,3.6
01051,01051,67.2,10.3,{},,12.5,12.5,22.0,3.7
01052,01052,75.8,10.7,{},,8.3,5.7,19.3,11.5
01053,01053,59.4,5.0,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 4.3, 'Cadres': 16.1, 'Profession intermédiaire': 33.2, 'Employé': 28.0, 'Ouvrier': 18.2}",24.0,11.5,11.3,17.4,8.8
01054,01054,81.0,4.1,{},,14.2,3.7,20.6,14.2
01143,01143,75.1,2.6,"{'Agriculteur': 0.5, 'Artisan, commerçant et chef d’entreprise': 9.3, 'Cadres': 17.9, 'Profession intermédiaire': 24.5, 'Employé': 39.2, 'Ouvrier': 8.7}",8.0,9.4,5.3,16.4,31.7
01160,01160,70.9,2.1,"{'Agriculteur': 0.0, 'Artisan, commerçant et chef d’entreprise': 8.1, 'Cadres': 19.3, 'Profession intermédiaire': 23.2, 'Employé': 37.3, 'Ouvrier': 12.2}",23.0,9.3,2.6,15.3,31.8
01173,01173,75.1,2.3,"{'Agriculteur': 0.3, 'Artisan, commerçant et chef d’entreprise': 11.1, 'Cadres': 16.1, 'Profession intermédiaire': 23.7, 'Employé': 34.6, 'Ouvrier': 14.2}",10.0,14.9,5.3,19.1,17.8
01249,01249,72.4,4.7,"{'Agriculteur': 0.3, 'Artisan, commerçant et chef d’entreprise': 5.8, 'Cadres': 18.7, 'Profession intermédiaire': 30.1, 'Employé': 19.2, 'Ouvrier': 25.8}",9.0,12.9,8.2,16.2,13.7
01283,01283,59.9,5.0,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 7.0, 'Cadres': 13.0, 'Profession intermédiaire': 25.8, 'Employé': 20.8, 'Ouvrier': 33.3}",28.0,12.5,8.3,14.8,4.5
01354,01354,72.0,1.5,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 8.5, 'Cadres': 17.2, 'Profession intermédiaire': 28.8, 'Employé': 31.1, 'Ouvrier': 14.2}",18.0,11.3,2.1,16.5,28.2
02168,02168,55.7,5.5,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 4.7, 'Cadres': 11.9, 'Profession intermédiaire': 25.1, 'Employé': 31.2, 'Ouvrier': 27.0}",27.0,13.2,12.4,14.6,6.5
02173,02173,53.8,6.9,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 5.0, 'Cadres': 11.7, 'Profession intermédiaire': 28.1, 'Employé': 34.3, 'Ouvrier': 20.8}",29.0,11.7,12.8,18.8,4.2
02408,02408,50.3,5.9,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 3.8, 'Cadres': 14.6, 'Profession intermédiaire': 30.9, 'Employé': 31.8, 'Ouvrier': 18.6}",31.0,12.2,10.9,15.9,6.8
02691,02691,53.0,5.7,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 4.9, 'Cadres': 12.9, 'Profession intermédiaire': 29.4, 'Employé': 31.8, 'Ouvrier': 20.9}",29.0,11.7,12.9,15.2,6.6
02722,02722,52.8,5.6,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 5.1, 'Cadres': 14.1, 'Profession intermédiaire': 29.4, 'Employé': 34.7, 'Ouvrier': 16.5}",30.0,12.1,11.0,15.7,6.8
02738,02738,54.4,7.5,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 4.5, 'Cadres': 9.4, 'Profession intermédiaire': 27.3, 'Employé': 21.8, 'Ouvrier': 36.8}",26.0,11.2,11.1,16.6,1.9
02810,02810,62.2,6.9,"{'Agriculteur': 0.3, 'Artisan, commerçant et chef d’entreprise': 4.9, 'Cadres': 13.3, 'Profession intermédiaire': 23.8, 'Employé': 31.0, 'Ouvrier': 26.7}",18.0,11.8,10.1,16.8,3.8
03095,03095,59.3,7.8,"{'Agriculteur': 0.7, 'Artisan, commerçant et chef d’entreprise': 6.2, 'Cadres': 14.2, 'Profession intermédiaire': 25.7, 'Employé': 28.7, 'Ouvrier': 24.5}",20.0,7.9,15.1,15.4,5.2
03185,03185,58.8,6.3,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 5.0, 'Cadres': 12.7, 'Profession intermédiaire': 26.3, 'Employé': 36.5, 'Ouvrier': 19.3}",25.0,9.7,14.2,17.4,5.8
03190,03190,60.1,6.1,"{'Agriculteur': 0.3, 'Artisan, commerçant et chef d’entreprise': 4.8, 'Cadres': 13.8, 'Profession intermédiaire': 30.8, 'Employé': 35.5, 'Ouvrier': 14.8}",24.0,11.1,13.6,15.4,7.5
03310,03310,54.3,6.2,"{'Agriculteur': 0.3, 'Artisan, commerçant et chef d’entreprise': 8.8, 'Cadres': 12.8, 'Profession intermédiaire': 26.2, 'Employé': 38.7, 'Ouvrier': 13.2}",23.0,9.1,17.1,18.6,9.3
03321,03321,62.8,9.3,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 3.9, 'Cadres': 10.3, 'Profession intermédiaire': 26.7, 'Employé': 32.9, 'Ouvrier': 26.1}",11.0,7.3,11.5,18.3,5.5
04070,04070,55.8,8.1,"{'Agriculteur': 0.6, 'Artisan, commerçant et chef d’entreprise': 6.6, 'Cadres': 15.7, 'Profession intermédiaire': 32.9, 'Employé': 31.4, 'Ouvrier': 12.8}",18.0,8.0,11.6,21.2,7.5
04112,04112,62.8,5.0,"{'Agriculteur': 0.5, 'Artisan, commerçant et chef d’entreprise': 6.4, 'Cadres': 17.4, 'Profession intermédiaire': 27.4, 'Employé': 29.0, 'Ouvrier': 19.3}",21.0,12.0,11.8,17.7,13.1
05023,05023,71.9,6.3,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 8.0, 'Cadres': 12.1, 'Profession intermédiaire': 34.3, 'Employé': 30.9, 'Ouvrier': 14.5}",15.0,9.2,9.7,20.7,10.6
05061,05061,66.0,7.4,"{'Agriculteur': 0.5, 'Artisan, commerçant et chef d’entreprise': 7.3, 'Cadres': 13.8, 'Profession intermédiaire': 31.2, 'Employé': 31.7, 'Ouvrier': 15.4}",15.0,9.3,9.4,19.2,9.4
06004,06004,69.1,5.3,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 11.4, 'Cadres': 19.0, 'Profession intermédiaire': 26.2, 'Employé': 29.2, 'Ouvrier': 14.0}",15.0,12.2,12.0,17.8,18.0
06012,06012,69.9,4.9,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 9.6, 'Cadres': 14.7, 'Profession intermédiaire': 26.1, 'Employé': 35.3, 'Ouvrier': 14.1}",20.0,2.8,4.8,17.5,10.2
06018,06018,69.4,4.3,"{'Agriculteur': 0.0, 'Artisan, commerçant et chef d’entreprise': 5.8, 'Cadres': 52.7, 'Profession intermédiaire': 20.3, 'Employé': 14.3, 'Ouvrier': 6.8}",,7.7,7.0,15.6,31.0
06027,06027,70.3,4.9,"{'Agriculteur': 0.3, 'Artisan, commerçant et chef d’entreprise': 13.1, 'Cadres': 17.2, 'Profession intermédiaire': 25.6, 'Employé': 31.5, 'Ouvrier': 12.3}",14.0,10.3,11.8,18.4,11.9
06029,06029,62.1,5.0,"{'Agriculteur': 0.0, 'Artisan, commerçant et chef d’entreprise': 11.5, 'Cadres': 18.3, 'Profession intermédiaire': 24.5, 'Employé': 32.1, 'Ouvrier': 13.6}",21.0,10.5,14.6,20.5,11.4
06030,06030,68.0,5.4,"{'Agriculteur': 0.0, 'Artisan, commerçant et chef d’entreprise': 14.8, 'Cadres': 13.8, 'Profession intermédiaire': 24.4, 'Employé': 31.5, 'Ouvrier': 15.5}",17.0,11.5,13.0,20.7,10.3
06033,06033,69.8,4.9,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 5.3, 'Cadres': 21.4, 'Profession intermédiaire': 28.8, 'Employé': 14.7, 'Ouvrier': 29.8}",13.0,12.0,6.1,20.2,7.8
06069,06069,65.4,4.6,"{'Agriculteur': 0.3, 'Artisan, commerçant et chef d’entreprise': 10.6, 'Cadres': 16.6, 'Profession intermédiaire': 27.1, 'Employé': 28.5, 'Ouvrier': 16.9}",15.0,12.2,9.9,18.4,11.1
06079,06079,69.2,6.9,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 12.7, 'Cadres': 15.9, 'Profession intermédiaire': 25.1, 'Employé': 30.1, 'Ouvrier': 15.9}",13.0,9.6,12.5,19.7,10.9
06083,06083,68.7,6.1,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 11.6, 'Cadres': 12.3, 'Profession intermédiaire': 22.7, 'Employé': 38.9, 'Ouvrier': 14.4}",17.0,3.3,9.8,20.8,7.6
06084,06084,71.3,6.3,"{'Agriculteur': 0.3, 'Artisan, commerçant et chef d’entreprise': 11.5, 'Cadres': 18.6, 'Profession intermédiaire': 28.8, 'Employé': 22.1, 'Ouvrier': 18.7}",9.0,9.4,13.2,17.1,19.6
06085,06085,71.4,4.4,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 10.1, 'Cadres': 25.7, 'Profession intermédiaire': 23.9, 'Employé': 24.6, 'Ouvrier': 15.6}",11.0,10.1,10.3,17.5,18.4
06088,06088,62.6,4.2,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 8.9, 'Cadres': 19.5, 'Profession intermédiaire': 26.8, 'Employé': 31.0, 'Ouvrier': 13.7}",22.0,12.8,11.1,17.7,15.8
06104,06104,70.4,5.4,"{'Agriculteur': 0.0, 'Artisan, commerçant et chef d’entreprise': 15.8, 'Cadres': 12.6, 'Profession intermédiaire': 26.2, 'Employé': 36.9, 'Ouvrier': 8.4}",14.0,2.7,9.5,19.9,11.6
06123,06123,73.4,4.8,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 9.8, 'Cadres': 14.3, 'Profession intermédiaire': 28.9, 'Employé': 32.6, 'Ouvrier': 14.4}",12.0,12.6,10.7,20.5,10.9
06149,06149,69.1,7.4,"{'Agriculteur': 0.3, 'Artisan, commerçant et chef d’entreprise': 10.0, 'Cadres': 9.6, 'Profession intermédiaire': 24.6, 'Employé': 34.9, 'Ouvrier': 20.6}",14.0,9.8,8.6,18.4,4.9
06152,06152,64.3,3.4,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 5.0, 'Cadres': 52.2, 'Profession intermédiaire': 21.8, 'Employé': 14.9, 'Ouvrier': 6.0}",10.0,8.5,5.7,13.5,26.9
06155,06155,63.9,6.5,"{'Agriculteur': 0.5, 'Artisan, commerçant et chef d’entreprise': 12.8, 'Cadres': 19.9, 'Profession intermédiaire': 23.6, 'Employé': 27.7, 'Ouvrier': 15.5}",18.0,12.4,13.3,18.5,9.5
06157,06157,70.3,5.0,"{'Agriculteur': 0.4, 'Artisan, commerçant et chef d’entreprise': 18.2, 'Cadres': 14.3, 'Profession intermédiaire': 25.2, 'Employé': 28.5, 'Ouvrier': 13.3}",14.0,8.9,12.4,17.7,14.7
06161,06161,72.4,5.4,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 8.7, 'Cadres': 32.0, 'Profession intermédiaire': 24.2, 'Employé': 23.0, 'Ouvrier': 12.0}",10.0,11.5,8.3,19.6,16.9
07010,07010,60.1,6.1,"{'Agriculteur': 0.4, 'Artisan, commerçant et chef d’entreprise': 5.8, 'Cadres': 12.5, 'Profession intermédiaire': 28.3, 'Employé': 26.0, 'Ouvrier': 27.1}",23.0,11.4,13.5,16.7,6.5
07019,07019,60.3,5.8,"{'Agriculteur': 0.6, 'Artisan, commerçant et chef d’entreprise': 8.4, 'Cadres': 13.7, 'Profession intermédiaire': 27.1, 'Employé': 31.8, 'Ouvrier': 18.4}",25.0,8.6,15.6,19.4,7.5
07102,07102,72.2,7.6,"{'Agriculteur': 0.0, 'Artisan, commerçant et chef d’entreprise': 5.5, 'Cadres': 20.3, 'Profession intermédiaire': 29.9, 'Employé': 30.5, 'Ouvrier': 13.8}",8.0,9.3,12.1,19.0,10.7
07324,07324,67.7,6.1,"{'Agriculteur': 1.4, 'Artisan, commerçant et chef d’entreprise': 4.6, 'Cadres': 15.4, 'Profession intermédiaire': 26.6, 'Employé': 24.3, 'Ouvrier': 27.6}",17.0,10.4,13.2,17.8,9.1
08105,08105,53.6,6.6,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 4.5, 'Cadres': 12.5, 'Profession intermédiaire': 29.5, 'Employé': 34.8, 'Ouvrier': 18.6}",30.0,11.1,12.3,15.6,7.4
08409,08409,48.7,6.0,"{'Agriculteur': 0.4, 'Artisan, commerçant et chef d’entreprise': 6.7, 'Cadres': 11.0, 'Profession intermédiaire': 29.4, 'Employé': 35.0, 'Ouvrier': 17.5}",33.0,10.3,13.6,14.8,3.9
09225,09225,62.6,5.0,"{'Agriculteur': 0.4, 'Artisan, commerçant et chef d’entreprise': 5.7, 'Cadres': 11.3, 'Profession intermédiaire': 26.8, 'Employé': 34.6, 'Ouvrier': 21.2}",23.0,11.0,10.7,22.4,6.2
10081,10081,50.1,4.5,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 4.2, 'Cadres': 10.3, 'Profession intermédiaire': 28.8, 'Employé': 22.3, 'Ouvrier': 34.2}",37.0,13.9,8.4,14.8,4.1
10323,10323,54.0,6.0,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 4.8, 'Cadres': 10.9, 'Profession intermédiaire': 30.3, 'Employé': 30.9, 'Ouvrier': 22.9}",30.0,12.3,13.0,15.2,3.9
10333,10333,64.6,6.5,"{'Agriculteur': 0.0, 'Artisan, commerçant et chef d’entreprise': 4.6, 'Cadres': 12.3, 'Profession intermédiaire': 23.7, 'Employé': 33.2, 'Ouvrier': 26.3}",17.0,11.1,8.6,16.7,8.9
10362,10362,64.5,6.7,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 6.5, 'Cadres': 16.6, 'Profession intermédiaire': 26.7, 'Employé': 20.6, 'Ouvrier': 29.5}",16.0,9.3,10.0,17.0,9.0
10387,10387,53.9,4.3,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 5.7, 'Cadres': 17.6, 'Profession intermédiaire': 30.0, 'Employé': 30.7, 'Ouvrier': 16.0}",30.0,12.0,9.7,16.4,10.0
11069,11069,57.0,6.4,"{'Agriculteur': 0.4, 'Artisan, commerçant et chef d’entreprise': 7.1, 'Cadres': 13.0, 'Profession intermédiaire': 29.3, 'Employé': 35.1, 'Ouvrier': 15.0}",28.0,11.3,12.1,20.3,7.7
11076,11076,62.8,5.3,"{'Agriculteur': 0.6, 'Artisan, commerçant et chef d’entreprise': 7.2, 'Cadres': 11.2, 'Profession intermédiaire': 25.2, 'Employé': 32.3, 'Ouvrier': 23.5}",21.0,9.3,14.5,22.3,8.3
11203,11203,50.1,8.1,"{'Agriculteur': 0.4, 'Artisan, commerçant et chef d’entreprise': 8.0, 'Cadres': 11.6, 'Profession intermédiaire': 26.4, 'Employé': 30.5, 'Ouvrier': 23.0}",24.0,9.9,14.3,15.9,4.2
11206,11206,59.0,7.0,"{'Agriculteur': 1.2, 'Artisan, commerçant et chef d’entreprise': 8.7, 'Cadres': 11.4, 'Profession intermédiaire': 25.9, 'Employé': 32.7, 'Ouvrier': 20.0}",22.0,7.5,17.1,19.0,5.6
11262,11262,57.2,6.2,"{'Agriculteur': 0.5, 'Artisan, commerçant et chef d’entreprise': 8.4, 'Cadres': 13.7, 'Profession intermédiaire': 29.3, 'Employé': 29.8, 'Ouvrier': 18.4}",25.0,9.9,12.2,19.3,8.9
12145,12145,65.2,8.3,"{'Agriculteur': 1.0, 'Artisan, commerçant et chef d’entreprise': 9.9, 'Cadres': 12.3, 'Profession intermédiaire': 28.9, 'Employé': 29.6, 'Ouvrier': 18.3}",16.0,8.6,12.0,19.4,7.7
12176,12176,70.1,5.7,"{'Agriculteur': 0.5, 'Artisan, commerçant et chef d’entreprise': 4.8, 'Cadres': 12.2, 'Profession intermédiaire': 32.2, 'Employé': 25.4, 'Ouvrier': 24.9}",17.0,11.0,7.2,19.7,7.6
12202,12202,65.1,5.2,"{'Agriculteur': 0.3, 'Artisan, commerçant et chef d’entreprise': 6.0, 'Cadres': 18.0, 'Profession intermédiaire': 34.3, 'Employé': 26.6, 'Ouvrier': 14.8}",16.0,9.3,11.0,19.4,12.0
12300,12300,58.4,9.5,"{'Agriculteur': 0.5, 'Artisan, commerçant et chef d’entreprise': 8.5, 'Cadres': 10.7, 'Profession intermédiaire': 27.0, 'Employé': 33.0, 'Ouvrier': 20.2}",19.0,8.1,14.9,18.1,6.4
13001,13001,62.2,3.4,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 6.0, 'Cadres': 32.1, 'Profession intermédiaire': 28.4, 'Employé': 23.0, 'Ouvrier': 10.3}",15.0,10.2,8.2,15.4,27.9
13002,13002,70.8,7.5,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 12.0, 'Cadres': 16.3, 'Profession intermédiaire': 29.4, 'Employé': 31.2, 'Ouvrier': 10.9}",7.0,8.6,9.6,17.8,14.2
13004,13004,59.9,6.0,"{'Agriculteur': 1.4, 'Artisan, commerçant et chef d’entreprise': 9.3, 'Cadres': 15.2, 'Profession intermédiaire': 26.8, 'Employé': 30.4, 'Ouvrier': 17.0}",24.0,11.7,11.2,17.7,8.9
13005,13005,64.2,5.5,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 6.9, 'Cadres': 16.5, 'Profession intermédiaire': 27.8, 'Employé': 29.6, 'Ouvrier': 19.0}",16.0,10.5,11.2,18.7,9.7
13007,13007,70.5,6.2,"{'Agriculteur': 1.2, 'Artisan, commerçant et chef d’entreprise': 18.4, 'Cadres': 16.7, 'Profession intermédiaire': 21.8, 'Employé': 27.5, 'Ouvrier': 14.4}",9.0,9.0,7.7,19.0,12.8
13014,13014,63.3,4.5,"{'Agriculteur': 1.4, 'Artisan, commerçant et chef d’entreprise': 7.7, 'Cadres': 13.8, 'Profession intermédiaire': 29.6, 'Employé': 17.9, 'Ouvrier': 29.5}",19.0,11.4,8.8,18.4,2.8
13015,13015,70.9,5.3,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 7.1, 'Cadres': 15.2, 'Profession intermédiaire': 28.0, 'Employé': 27.2, 'Ouvrier': 22.4}",6.0,9.1,8.0,15.7,23.0
13019,13019,71.9,5.3,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 8.2, 'Cadres': 11.5, 'Profession intermédiaire': 28.4, 'Employé': 38.0, 'Ouvrier': 13.8}",,8.7,7.9,15.3,26.2
13026,13026,69.0,3.8,"{'Agriculteur': 0.8, 'Artisan, commerçant et chef d’entreprise': 12.3, 'Cadres': 12.8, 'Profession intermédiaire': 23.9, 'Employé': 27.3, 'Ouvrier': 22.9}",13.0,14.7,8.9,18.4,7.0
13027,13027,68.2,6.3,"{'Agriculteur': 2.1, 'Artisan, commerçant et chef d’entreprise': 9.3, 'Cadres': 13.3, 'Profession intermédiaire': 23.6, 'Employé': 24.2, 'Ouvrier': 27.7}",18.0,12.3,8.7,18.3,6.9
13028,13028,64.9,6.3,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 10.2, 'Cadres': 24.1, 'Profession intermédiaire': 28.3, 'Employé': 23.9, 'Ouvrier': 13.2}",15.0,10.2,12.6,17.8,12.7
13039,13039,67.6,5.4,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 3.4, 'Cadres': 15.0, 'Profession intermédiaire': 33.7, 'Employé': 15.6, 'Ouvrier': 32.3}",11.0,11.0,7.7,21.7,3.6
13040,13040,72.4,5.9,"{'Agriculteur': 0.7, 'Artisan, commerçant et chef d’entreprise': 10.1, 'Cadres': 24.8, 'Profession intermédiaire': 27.9, 'Employé': 19.1, 'Ouvrier': 17.5}",7.0,11.3,6.2,17.8,20.1
13041,13041,67.7,6.7,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 6.8, 'Cadres': 18.4, 'Profession intermédiaire': 30.3, 'Employé': 24.0, 'Ouvrier': 20.3}",13.0,12.9,8.7,16.7,9.9
13043,13043,66.0,7.2,"{'Agriculteur': 0.3, 'Artisan, commerçant et chef d’entreprise': 9.5, 'Cadres': 12.3, 'Profession intermédiaire': 27.3, 'Employé': 20.1, 'Ouvrier': 30.5}",11.0,13.6,7.1,17.7,7.4
13047,13047,68.5,5.5,"{'Agriculteur': 0.3, 'Artisan, commerçant et chef d’entreprise': 4.8, 'Cadres': 15.4, 'Profession intermédiaire': 27.9, 'Employé': 36.6, 'Ouvrier': 15.0}",14.0,11.4,6.9,22.5,6.9
13054,13054,66.2,4.8,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 3.6, 'Cadres': 29.2, 'Profession intermédiaire': 30.0, 'Employé': 19.6, 'Ouvrier': 17.6}",19.0,13.4,9.6,19.8,7.1
13055,13055,58.2,4.1,"{'Agriculteur': 0.0, 'Artisan, commerçant et chef d’entreprise': 6.3, 'Cadres': 23.5, 'Profession intermédiaire': 28.8, 'Employé': 28.0, 'Ouvrier': 13.4}",26.0,14.5,9.1,17.3,14.9
13056,13056,63.8,5.5,"{'Agriculteur': 0.3, 'Artisan, commerçant et chef d’entreprise': 6.4, 'Cadres': 14.5, 'Profession intermédiaire': 31.5, 'Employé': 28.1, 'Ouvrier': 19.2}",18.0,11.5,9.5,18.3,8.1
13063,13063,62.9,5.1,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 6.9, 'Cadres': 10.1, 'Profession intermédiaire': 26.0, 'Employé': 28.9, 'Ouvrier': 28.0}",23.0,14.1,8.5,19.2,4.9
13069,13069,71.6,5.7,"{'Agriculteur': 1.3, 'Artisan, commerçant et chef d’entreprise': 15.8, 'Cadres': 16.6, 'Profession intermédiaire': 24.5, 'Employé': 33.0, 'Ouvrier': 8.8}",8.0,9.7,9.1,17.6,15.5
